"","Region","Life_expectancy","Adult_mortality","Hepatitis_B","Incidents_HIV","GDP_per_capita","Economy_status_Developed"
"1021","Asia",75.7,150.71,99,0.17,5685,0
"1022","Asia",70.5,201.364,67,0.09,2867,0
"1023","Africa",51.8,347.234,42,0.13,202,0
"1024","Central America and Caribbean",58.3,292.919,60,1.22,1266,0
"1025","Middle East",76.1,94.4245,98,0.05,20102,0
"1026","Asia",70.9,135.9235,80,0.09,5215,0
"1027","European Union",81.3,62.934,96,0.09,33752,1
"1028","Rest of Europe",73.2,138.1465,91,0.02,4462,0
"1029","Africa",73.2,158.361,99,3.5,12154,0
"1030","Central America and Caribbean",78.2,110.5555,85,0.45,18240,0
"1031","Africa",52.9,318.9535,69,0.83,354,0
"1032","Asia",59.4,268.307,48,0.14,974,0
"1033","Asia",82.3,66.533,83,0.17,33532,1
"1034","South America",73.6,154.9275,96,0.25,8702,0
"1035","European Union",75.2,142.313,98,0.08,9749,1
"1036","Africa",75.7,92.8345,98,0.04,4098,0
"1037","Rest of Europe",71,174.6775,91,0.37,2589,0
"1038","South America",73.8,135.759,93,0.17,4805,0
"1039","Asia",66.7,238.1335,95,0.19,1840,0
"1040","Rest of Europe",74.8,115.273,92,0.08,3057,0
"1041","Middle East",75.4,83.893,92,0.13,53845,0
"1042","Middle East",78.1,65.436,97,0.04,61583,0
"1043","Africa",62.9,248.135,77,0.12,480,0
"1044","Central America and Caribbean",73.3,177.7395,90,0.4,9327,0
"1045","European Union",78.7,98.807,88,0.08,41522,1
"1046","Middle East",76.4,84.8885,75,0.03,6677,0
"1047","Africa",63.4,242.9055,70,0.14,469,0
"1048","Asia",67.9,182.8295,70,0.08,1416,0
"1049","Africa",55.1,316.669,42,0.13,330,0
"1050","Africa",64.2,261.8635,94,0.13,828,0
"1051","Africa",61,304.7255,94,0.29,638,0
"1052","European Union",81.2,63.881,88,0.06,44869,1
"1053","South America",71.5,162.571,90,0.18,3903,0
"1054","Africa",56.9,275.3955,75,0.84,956,0
"1055","Asia",75.6,84.358,99,0.1,7533,0
"1056","Asia",62.7,275.964,83,0.24,1279,0
"1057","European Union",72.8,184.639,95,0.08,17459,1
"1058","Africa",62.8,244.6325,88,0.84,1774,0
"1059","Africa",72,166.862,88,1.2,5726,0
"1060","Asia",61,250.135,66,0.02,526,0
"1061","Asia",70,205.572,87,0.05,2484,0
"1062","Asia",68.2,219.993,99,0.02,3336,0
"1063","Africa",57.2,357.892,97,4,366,0
"1064","European Union",81.5,68.8685,88,0.08,42802,1
"1065","European Union",75.2,120.2325,92,0.08,13428,1
"1066","Oceania",65.9,218.489,98,0.03,4174,0
"1067","Asia",63.4,227.735,65,0.03,556,0
"1068","Central America and Caribbean",74,174.4925,94,0.4,4805,0
"1069","Asia",67.9,149.14,86,0.13,739,0
"1070","Africa",50.6,410.7595,75,3.5,409,0
"1071","Central America and Caribbean",77.7,101.699,95,0.14,5183,0
"1072","European Union",71.9,162.285,98,0.04,6299,1
"1073","Africa",59.5,262.583,91,0.2,647,0
"1074","Africa",50.2,587.989,88,16.5,4684,0
"1075","South America",67.8,210.4495,84,1.01,6202,0
"1076","Asia",74.7,132.423,94,0.18,1913,0
"1077","Middle East",73.9,115.264,99,0.05,19486,0
"1078","Oceania",68.7,153.7735,62,0.17,2790,0
"1079","Asia",73,139.3635,85,0.25,1170,0
"1080","Rest of Europe",70.2,224.272,91,0.19,4685,0
"1081","Africa",55.6,359.557,82,1.73,1255,0
"1082","Middle East",70.9,143.8085,99,0.13,4234,0
"1083","Middle East",74.4,68.3055,99,0.13,32035,0
"1084","Africa",58.2,314.8255,70,2.59,7504,0
"1085","Rest of Europe",70.6,225.4045,98,0.23,5938,0
"1086","Middle East",68.6,175.9375,72,0.13,4052,0
"1087","European Union",71.7,161.911,94,0.02,3718,1
"1088","Africa",53.6,293.3925,83,2.73,570,0
"1089","Middle East",73.4,83.6915,94,0.13,37169,0
"1090","Asia",65.5,249.112,98,0.02,2217,0
"1091","Asia",66.4,161.1745,72,0.13,1323,0
"1092","Asia",66.4,240.3135,96,0.02,2588,0
"1093","European Union",81,66.33,95,0.1,105290,1
"1094","Central America and Caribbean",72.1,170.07,95,0.49,32244,0
"1095","Middle East",75.5,92.6345,77,0.02,6625,0
"1096","Asia",61.8,283.9275,89,0.23,1176,0
"1097","Africa",61.2,263.646,81,0.06,471,0
"1098","Middle East",75.2,102.805,99,0.05,21143,0
"1099","Africa",56.6,326.2985,46,4.43,13422,0
"1100","Middle East",75.5,83.49,99,0.04,5346,0
"1101","European Union",78.6,91.5155,44,0.08,39185,1
"1102","European Union",78.3,91.975,86,0.08,35011,1
"1103","Rest of Europe",68.5,249.943,93,0.06,2755,0
"1104","South America",75.8,119.885,94,0.14,14072,0
"1105","European Union",80.6,72.6245,98,0.09,18124,1
"1106","Africa",61.5,247.4625,83,0.02,1193,0
"1107","Oceania",81.5,64.839,94,0.05,53226,1
"1108","Africa",50.6,487.29,87,5.58,314,0
"1109","Africa",49.4,439.1325,23,1.53,365,0
"1110","Middle East",73.5,99.216,96,0.13,18496,0
"1111","Central America and Caribbean",71.7,168.994,93,0.13,1675,0
"1112","European Union",78.5,79.8805,88,0.06,40785,1
"1113","Oceania",67.8,221.1905,83,0.17,1737,0
"1114","Central America and Caribbean",69.8,193.4335,87,0.23,3320,0
"1115","Oceania",64.7,183.8285,81,0.17,2964,0
"1116","European Union",81.7,55.8855,53,0.08,48886,1
"1117","Middle East",78.8,60.3175,81,0.04,7643,0
"1118","European Union",79.8,68.96,60,0.08,42377,1
"1119","Africa",73,95.4645,95,0.05,2295,0
"1120","Rest of Europe",72.6,142.8055,91,0.08,2364,0
"1121","Africa",57.4,300.7015,80,1.56,1077,0
"1122","Middle East",73.8,96.094,98,0.13,18203,0
"1123","Asia",68.6,217.6085,98,0.02,3651,0
"1124","South America",73,146.1275,81,0.4,12986,0
"1125","Africa",46.8,549.7965,89,6.97,287,0
"1126","European Union",81.5,67.2055,96,0.09,25779,1
"1127","Africa",51.2,353.231,42,0.13,183,0
"1128","Middle East",74.5,102.479,83,0.02,6713,0
"1129","North America",79.5,78.1635,14,0.1,35016,1
"1130","Asia",69.5,182.5805,81,0.2,2849,0
"1131","Africa",70.8,135.0125,98,0.27,3079,0
"1132","Central America and Caribbean",71.2,195.439,89,0.22,3335,0
"1133","Rest of Europe",82.9,50.618,88,0.05,49192,1
"1134","Oceania",65.2,209.8995,83,0.17,1429,0
"1135","Africa",52.7,297.8265,83,2.88,562,0
"1136","European Union",79.2,84.8235,83,0.08,40651,1
"1137","North America",81.8,66.418,55,0.1,43635,1
"1138","Rest of Europe",72.2,150.105,83,0.01,3419,0
"1139","Africa",71.1,122.5085,95,0.06,2066,0
"1140","Africa",42.7,606.731,93,19.93,2749,0
"1141","Asia",71,124.3175,98,0.17,6544,0
"1142","Africa",54.2,343.491,92,0.74,302,0
"1143","Asia",69.7,207.4785,85,0.04,2305,0
"1144","Africa",52.1,417.8705,71,2.58,2062,0
"1145","Africa",57.9,282,62,0.79,738,0
"1146","European Union",80.8,73.356,88,0.01,20890,1
"1147","European Union",72.3,183.917,88,0.08,10260,1
"1148","Asia",57.8,285.188,67,0.02,323,0
"1149","European Union",81.8,57.197,62,0.08,49540,1
"1150","Central America and Caribbean",74.1,132.2455,91,0.47,4908,0
"1151","Middle East",77.1,69.616,99,0.13,36996,0
"1152","Oceania",60,260.612,67,0.64,1803,0
"1153","South America",66.4,224.933,91,0.92,4025,0
"1154","South America",70.5,182.1315,91,0.25,6789,0
"1155","European Union",79.6,80.4485,82,0.09,25026,1
"1156","Oceania",63.4,219.7965,85,0.17,1506,0
"1157","European Union",81,71.71,98,0.08,41008,1
"1158","Africa",57.4,328.8035,40,4.2,11283,0
"1159","Rest of Europe",76.5,104.853,90,0.03,6203,0
"1160","Asia",75.3,122.485,97,0.02,2750,0
"1161","Middle East",74.2,111.8095,99,0.05,19448,0
"1162","Rest of Europe",74.3,90.939,96,0.01,2144,0
"1163","Rest of Europe",76.6,98.9245,91,0.08,4391,0
"1164","Central America and Caribbean",78.8,99.0935,97,0.28,16559,0
"1165","Asia",62.1,240.464,67,0.03,558,0
"1166","Oceania",69.7,158.283,93,0.17,3672,0
"1167","South America",74.3,157.802,93,0.21,4403,0
"1168","Oceania",71.3,158.7095,99,0.17,2178,0
"1169","Middle East",77.6,69.798,93,0.04,56916,0
"1170","Asia",66.1,158.27,81,0.05,631,0
"1171","Middle East",68.3,179.8285,75,0.13,3909,0
"1172","Africa",57.7,331.2625,85,2.59,782,0
"1173","Asia",59.3,251.68,84,0.6,516,0
"1174","European Union",80.8,65.986,96,0.09,33150,1
"1175","Africa",74.3,153.147,99,3.5,13701,0
"1176","Africa",48.4,340.0665,67,1.43,2022,0
"1177","European Union",79.2,76.8165,95,0.06,50462,1
"1178","South America",71.9,168.2965,98,0.25,7352,0
"1179","Middle East",73.6,114.4895,98,0.13,4521,0
"1180","South America",70.1,186.4955,94,0.24,6788,0
"1181","Asia",66.9,159.3365,75,0.01,708,0
"1182","Africa",56.1,282.1,66,0.42,705,0
"1183","European Union",79.9,77.0555,95,0.08,23929,1
"1184","Asia",81.5,58.746,96,0.11,48753,0
"1185","Africa",62.5,253.3645,77,0.1,514,0
"1186","Central America and Caribbean",78.6,92.9325,87,0.17,9838,0
"1187","Africa",60.2,312.3995,91,0.3,722,0
"1188","Central America and Caribbean",71.8,171.2385,80,0.55,5393,0
"1189","European Union",81.2,70.114,97,0.09,27026,1
"1190","Oceania",70.4,174.1935,92,0.17,1980,0
"1191","Rest of Europe",79.4,75.5335,88,0.02,69327,1
"1192","Oceania",61.1,241.003,61,0.44,2046,0
"1193","Africa",55.6,327.9225,81,1.56,450,0
"1194","Asia",65.7,203.4325,87,0.16,1911,0
"1195","Africa",63.6,217.6005,86,0.22,1143,0
"1196","Africa",57.2,319.9625,96,0.49,313,0
"1197","Asia",83.8,53.586,83,0.17,34961,1
"1198","Asia",74,95.93,99,0.1,34441,0
"1199","Africa",63.5,310.831,95,6.75,6089,0
"1200","European Union",75.5,115.04,96,0.02,10943,1
"1201","Africa",49.9,383.7715,41,0.85,2173,0
"1202","Africa",56.9,405.008,95,4.77,1435,0
"1203","Asia",66,284.836,95,0.04,5551,0
"1204","Africa",74.2,145.373,97,0.76,8955,0
"1205","Rest of Europe",75.4,97.197,92,0.08,4862,0
"1206","Africa",75.7,70.9135,99,0.03,2875,0
"1207","Asia",80,67.5915,96,0.14,41799,0
"1208","European Union",78.6,99.0175,88,0.03,21575,1
"1209","North America",77,113.733,92,0.13,50036,1
"1210","Oceania",80.7,71.942,93,0.04,35252,1
"1211","Central America and Caribbean",74.1,150.5335,97,0.69,5260,0
"1212","Africa",60.4,258.699,69,0.02,1185,0
"1213","Asia",63.5,183.668,63,0.13,1074,0
"1214","European Union",70.3,223.511,93,0.08,10626,1
"1215","Rest of Europe",73.3,136.1865,94,0.08,2959,0
"1216","European Union",76.1,115.561,99,0.01,15067,1
"1217","Oceania",71.2,138.431,12,0.17,4062,0
"1218","Asia",69.9,152.8095,99,0.14,2231,0
"1219","Middle East",79.4,58.689,93,0.06,63234,0
"1220","Africa",55.2,441.7035,83,6.12,3982,0
"1221","Middle East",78.7,62.766,81,0.04,8201,0
"1222","Asia",57.3,292.0365,65,0.02,332,0
"1223","Africa",42.9,579.412,90,15.31,912,0
"1224","European Union",71.1,229.4005,95,0.07,10659,1
"1225","European Union",76.6,110.515,96,0.02,16342,1
"1226","South America",73.4,154.9855,75,0.21,4397,0
"1227","Africa",66.7,190.0275,89,0.1,1219,0
"1228","Oceania",64.5,213.586,50,0.17,1531,0
"1229","Rest of Europe",72.8,142.495,65,0.01,4405,0
"1230","Africa",68.6,175.924,98,0.13,2610,0
"1231","Central America and Caribbean",77.2,119.297,85,0.4,12080,0
"1232","Africa",52.9,429.3055,95,3.79,634,0
"1233","European Union",78.6,63.682,88,0.04,25630,1
"1234","Africa",56.5,372.128,86,0.51,857,0
"1235","Africa",49.4,425.103,86,1.11,536,0
"1236","European Union",76.3,133.087,94,0.08,16257,1
"1237","Africa",44.4,624.685,88,20.31,2572,0
"1238","Oceania",66.6,199.509,99,0.07,4426,0
"1239","Central America and Caribbean",71.6,165.5335,99,0.4,7190,0
"1240","Rest of Europe",73.7,115.753,53,0.08,3601,0
"1241","European Union",81.3,72.0015,98,0.08,17796,1
"1242","Middle East",76,76.8985,92,0.13,40755,0
"1243","Africa",70.2,162.699,97,0.13,3381,0
"1244","Asia",68.5,236.9465,99,0.11,8979,0
"1245","Rest of Europe",68.2,271.3425,92,0.33,2528,0
"1246","Africa",53.9,368.724,76,3.5,523,0
"1247","Rest of Europe",76,102.9815,89,0.08,4096,0
"1248","Asia",64.2,215.7345,46,0.17,584,0
"1249","Middle East",72.1,130.341,99,0.05,20625,0
"1250","Middle East",77.8,68.394,98,0.04,58542,0
"1251","Central America and Caribbean",75.6,136.3935,99,0.4,10094,0
"1252","Central America and Caribbean",73.1,160.869,96,0.4,8677,0
"1253","Africa",46.3,569.503,81,8.7,843,0
"1254","Africa",55.1,329.281,80,1.66,468,0
"1255","Africa",55.7,382.8695,83,5.74,1215,0
"1256","Central America and Caribbean",74.1,142.157,90,0.62,4987,0
"1257","Africa",56.4,280.0665,73,0.88,943,0
"1258","Africa",50.7,338.642,69,1.01,334,0
"1259","Rest of Europe",68.3,268.4445,84,0.31,2599,0
"1260","Central America and Caribbean",77.6,98.266,80,0.13,7805,0
"1261","Rest of Europe",79.2,80.04,88,0.08,43928,1
"1262","South America",76.5,140.0675,91,0.19,6176,0
"1263","Africa",75.5,72.144,99,0.04,2789,0
"1264","Africa",71.9,137.147,96,0.08,10101,0
"1265","Rest of Europe",75.7,105.6105,88,0.08,4132,0
"1266","Asia",70.1,134.715,96,0.11,978,0
"1267","Africa",62,367.7435,85,7.47,6274,0
"1268","Oceania",66.4,204.926,99,0.05,4535,0
"1269","Africa",47.7,401.9865,29,1.1,1878,0
"1270","Asia",69.2,210.145,77,0.02,2149,0
"1271","Africa",51.3,332.612,57,1.3,637,0
"1272","Africa",62.8,210,75,0.18,1433,0
"1273","South America",74.3,133.0055,81,0.15,10389,0
"1274","Asia",77.4,70.354,99,0.17,9182,0
"1275","Africa",50.1,425.1035,47,1.33,364,0
"1276","Africa",42.5,597.7545,95,19.87,2902,0
"1277","European Union",78.2,91.2495,87,0.08,34883,1
"1278","Asia",75.1,78.1485,98,0.17,9119,0
"1279","Central America and Caribbean",71,185.282,89,0.4,17334,0
"1280","Central America and Caribbean",78.3,108.625,93,0.41,17254,0
"1281","European Union",80.6,73.2125,95,0.09,104574,1
"1282","Asia",74.7,126.7315,96,0.16,8550,0
"1283","Middle East",73.4,118.7185,99,0.05,19716,0
"1284","Africa",52.4,401.9615,83,0.92,757,0
"1285","Middle East",81.7,59.725,98,0.08,33678,1
"1286","European Union",79.1,86.0865,94,0.07,100293,1
"1287","Middle East",68.4,175.9275,62,0.13,3515,0
"1288","Africa",59.6,267.442,47,3.5,649,0
"1289","Asia",75.2,124.8175,98,0.02,2675,0
"1290","Asia",73.4,129.9325,94,0.22,7044,0
"1291","Asia",72.8,132.819,95,0.27,6286,0
"1292","Asia",60.4,237.811,74,0.54,345,0
"1293","European Union",81.7,84.668,65,0.1,35640,1
"1294","South America",69,192.7545,93,0.17,2693,0
"1295","Rest of Europe",68,276.8135,97,0.4,2144,0
"1296","Asia",72.1,179.3555,96,0.37,4412,0
"1297","European Union",74.9,129.606,99,0.01,13679,1
"1298","Africa",61,259.173,94,1,1419,0
"1299","Africa",73.1,118.7855,83,0.02,3752,0
"1300","European Union",79.1,76.488,88,0.06,41450,1
"1301","Asia",67.8,159.492,51,0.2,1919,0
"1302","European Union",80.1,74.622,95,0.1,32964,1
"1303","South America",76.9,104.85,94,0.14,8910,0
"1304","Asia",64.9,199.4,75,0.31,1088,0
"1305","Africa",49.6,456.1585,59,3.99,1848,0
"1306","European Union",81.2,64.6875,93,0.08,44196,1
"1307","Oceania",79.9,77.0035,87,0.03,35052,1
"1308","Africa",60.5,287.067,92,2.32,857,0
"1309","Middle East",71.3,141.0335,98,0.15,4543,0
"1310","South America",69,210.868,98,0.59,5568,0
"1311","Africa",56,300.7215,91,1.68,729,0
"1312","South America",73.2,139.7105,94,0.19,4124,0
"1313","Africa",58.1,383.243,82,5.62,4282,0
"1314","Rest of Europe",82,59.218,88,0.07,82998,1
"1315","Central America and Caribbean",71.8,159.928,96,0.4,6738,0
"1316","Middle East",78.4,67.7015,81,0.03,9115,0
"1317","European Union",73.5,180.8715,91,0.22,10964,1
"1318","Africa",70.9,134.1865,98,0.26,3004,0
"1319","South America",73.9,149.1315,88,0.2,4725,0
"1320","Rest of Europe",71.5,171.2775,88,0.36,2732,0
"1321","South America",68,200.5385,91,0.17,2514,0
"1322","South America",72.6,156.3825,72,0.4,3273,0
"1323","European Union",79.6,57.259,86,0.08,19948,1
"1324","Rest of Europe",74.9,113.603,92,0.08,3172,0
"1325","Asia",64,180.861,65,0.13,1175,0
"1326","Asia",69.7,216.1,97,0.14,2501,0
"1327","North America",81.2,69.0295,56,0.1,41155,1
"1328","South America",74.9,123.728,94,0.17,9679,0
"1329","Africa",59.7,271.224,51,0.04,426,0
"1330","Central America and Caribbean",71.8,161.7965,99,0.4,6783,0
"1331","Asia",69.6,137.093,96,0.12,907,0
"1332","Africa",49.9,355.612,87,1.41,306,0
"1333","Africa",68.7,152.9405,43,0.06,1763,0
"1334","Africa",72.2,132.4335,98,0.09,13794,0
"1335","Asia",83.3,57.102,83,0.17,34240,1
"1336","European Union",73.9,178.7025,93,0.09,13262,1
"1337","European Union",77.1,106.0975,82,0.21,19068,1
"1338","Africa",63.1,262.224,80,2.04,2449,0
"1339","Africa",49.8,496.876,81,7.23,965,0
"1340","Africa",52.6,500.1645,83,7.04,4012,0
"1341","Oceania",81,65.59,95,0.05,50948,1
"1342","Africa",51,411.085,81,4.22,1107,0
"1343","Africa",69.8,167.5755,98,0.13,3126,0
"1344","Oceania",60.8,245.9055,71,0.5,1944,0
"1345","Asia",61.6,243.807,49,0.16,1172,0
"1346","European Union",72,205.9795,94,0.06,8919,1
"1347","European Union",78.3,64.045,86,0.08,17189,1
"1348","South America",75.3,131.6005,88,0.16,5655,0
"1349","Africa",52.1,325.9935,69,0.89,342,0
"1350","Central America and Caribbean",70.8,178.7195,87,0.74,4647,0
"1351","European Union",79.6,80.6985,81,0.09,25311,1
"1352","European Union",77.9,95.5795,99,0.08,16762,1
"1353","Middle East",74,118.895,81,0.13,1423,0
"1354","South America",75.4,122.669,91,0.14,14200,0
"1355","Africa",51,423.329,88,2.69,399,0
"1356","Asia",74.9,91.9455,93,0.1,34244,0
"1357","Africa",57.4,286.4,63,0.84,712,0
"1358","Africa",62.1,315.473,92,4.58,4897,0
"1359","Central America and Caribbean",72.6,168.019,85,0.03,3802,0
"1360","Asia",69.2,158.944,92,0.17,871,0
"1361","Africa",45.4,593.712,81,9.05,808,0
"1362","Oceania",69.8,184.517,90,0.17,1910,0
"1363","Middle East",73.1,122.6915,79,0.13,1341,0
"1364","Central America and Caribbean",76.3,131.452,99,0.2,13909,0
"1365","Rest of Europe",71.6,149.9165,81,0.01,3193,0
"1366","Rest of Europe",67.2,238.655,94,0.25,1423,0
"1367","Central America and Caribbean",77,120.477,87,0.4,11194,0
"1368","Central America and Caribbean",72.7,145.097,97,0.4,7934,0
"1369","South America",75.2,120.9975,95,0.18,8929,0
"1370","Central America and Caribbean",77.4,125.1375,83,0.61,15834,0
"1371","Africa",71.8,169.8725,92,1.21,5674,0
"1372","Rest of Europe",75.1,103.787,96,0.08,4434,0
"1373","Central America and Caribbean",59,282.083,60,1.07,1286,0
"1374","Rest of Europe",71.4,149.064,55,0.08,1290,0
"1375","Africa",55.1,460.7075,72,12.31,4996,0
"1376","Middle East",75.6,81.046,92,0.13,51197,0
"1377","South America",70.7,177,86,0.6,9358,0
"1378","Africa",54.9,340.312,99,0.69,302,0
"1379","Rest of Europe",72.4,161.53,96,0.14,3739,0
"1380","North America",80.7,72.9125,28,0.1,42064,1
"1381","Africa",55.2,353.864,52,0.73,286,0
"1382","Africa",51.1,430.5715,76,1.85,1558,0
"1383","South America",74.5,140.35,94,0.17,5048,0
"1384","European Union",81.2,72.193,88,0.08,42711,1
"1385","Africa",66.4,193.5185,89,0.1,1179,0
"1386","Middle East",74.9,113.8015,96,0.08,9299,0
"1387","Africa",74.9,99.6225,99,0.04,3881,0
"1388","Central America and Caribbean",72,180.7985,93,0.7,35122,0
"1389","Central America and Caribbean",69.1,198.056,87,0.33,3251,0
"1390","Central America and Caribbean",78.7,100.3405,94,0.29,16188,0
"1391","European Union",78,83.609,88,0.06,40457,1
"1392","Africa",56.1,369.69,79,3.29,750,0
"1393","South America",76.4,114.3705,94,0.22,12022,0
"1394","European Union",82.2,58.7975,94,0.1,105584,1
"1395","Rest of Europe",81.7,62.047,88,0.07,81805,1
"1396","Central America and Caribbean",78.5,93.787,89,0.16,10053,0
"1397","Africa",57.6,290.417,95,1.48,751,0
"1398","Africa",57.7,449.3985,71,9.52,6085,0
"1399","Asia",73.1,104.114,99,0.1,34291,0
"1400","Central America and Caribbean",76.8,121.6565,94,0.4,10232,0
"1401","Africa",42.6,592.0125,91,16.06,874,0
"1402","Asia",68.7,150.584,49,0.19,2632,0
"1403","Africa",54.5,522.8285,83,10.86,6060,0
"1404","Central America and Caribbean",73.4,150.6365,98,0.11,1982,0
"1405","Middle East",73.9,104.022,99,0.08,5496,0
"1406","Central America and Caribbean",74.1,166.4425,98,0.84,4934,0
"1407","Africa",45.1,548.4965,93,12.44,996,0
"1408","Middle East",75.4,100.71,98,0.05,21458,0
"1409","Africa",70.7,155.3845,93,0.13,3472,0
"1410","Africa",57,299.502,80,1.75,1041,0
"1411","Asia",82.9,63.037,83,0.17,31651,1
"1412","European Union",82.4,61.3175,96,0.09,24635,1
"1413","European Union",82.5,63.491,97,0.09,25403,1
"1414","European Union",76.8,99.7905,97,0.02,11780,1
"1415","Africa",46.2,537.6,52,4.6,517,0
"1416","Rest of Europe",73.4,139.896,93,0.01,4648,0
"1417","European Union",75.2,118.748,86,0.08,12960,1
"1418","Africa",39.4,531.3245,71,1.59,403,0
"1419","Middle East",78.2,69.5575,81,0.03,8687,0
"1420","European Union",77.4,97.8545,99,0.08,16506,1
"1421","Asia",68.9,213.186,42,0.01,1876,0
"1422","Central America and Caribbean",70,184.5125,63,0.88,4376,0
"1423","Asia",71.3,165.2695,86,0.02,1923,0
"1424","European Union",80.2,52.635,96,0.06,22514,1
"1425","European Union",70.8,232.029,96,0.21,7245,1
"1426","Africa",57.4,270.725,70,0.79,944,0
"1427","Africa",60.3,268.6985,61,0.04,453,0
"1428","Asia",62.8,188.328,64,0.13,1029,0
"1429","Africa",51.7,427.1045,74,1.66,1596,0
"1430","Central America and Caribbean",72.8,176.8515,96,0.4,6809,0
"1431","European Union",77.5,103.8765,88,0.08,37884,1
"1432","Oceania",65.5,208.5885,86,0.17,1409,0
"1433","European Union",72.6,154.1315,94,0.02,4850,1
"1434","Asia",68.3,179.3025,88,0.11,1105,0
"1435","Central America and Caribbean",69.5,196.9585,83,0.16,1445,0
"1436","South America",65.5,229.173,85,0.98,3947,0
"1437","Africa",60.6,279.805,56,0.4,414,0
"1438","Asia",66.7,200.751,96,0.08,4266,0
"1439","European Union",70.9,237.8385,96,0.07,11985,1
"1440","Rest of Europe",65.4,307.7435,43,0.08,5619,0
"1441","Africa",71.4,131.7085,94,0.24,3085,0
"1442","Asia",61.6,225.6425,62,0.47,542,0
"1443","European Union",78.5,89.2665,97,0.17,19986,1
"1444","South America",76.9,110.371,95,0.23,14086,0
"1445","Rest of Europe",71.2,203.08,22,0.24,2346,0
"1446","European Union",78.5,81.2525,95,0.06,47731,1
"1447","European Union",80.1,75.094,88,0.04,51567,1
"1448","Africa",52.1,446.4505,89,4.03,611,0
"1449","Africa",50.3,574.7605,87,17.96,4495,0
"1450","Asia",74.9,129.7315,98,0.02,2398,0
"1451","European Union",81.7,53.4165,94,0.08,22071,1
"1452","Asia",68.1,182.4795,99,0.1,1476,0
"1453","Rest of Europe",74.5,124.594,94,0.02,5354,0
"1454","European Union",79.7,89.883,88,0.08,42412,1
"1455","European Union",78.7,89.4275,81,0.08,39636,1
"1456","South America",69.2,192.5215,84,0.81,7896,0
"1457","Africa",57,272.427,73,0.42,729,0
"1458","European Union",75.9,104.768,97,0.02,12790,1
"1459","Africa",60.1,253.126,68,0.06,482,0
"1460","Asia",65.5,290.732,99,0.02,4446,0
"1461","European Union",77.1,95.4975,96,0.02,11537,1
"1462","Asia",82.5,65.136,83,0.17,33990,1
"1463","Asia",62.5,221.6305,67,0.34,758,0
"1464","Rest of Europe",82.1,56.476,88,0.04,73650,1
"1465","Africa",56.8,309.5725,78,1.28,468,0
"1466","Central America and Caribbean",69.5,193.551,96,1.47,4736,0
"1467","Asia",74.6,133.6115,87,0.19,1833,0
"1468","Africa",62.5,252.8295,65,0.32,490,0
"1469","Africa",54.9,407.6445,80,0.84,1769,0
"1470","Africa",49.5,318.8575,78,0.92,641,0
"1471","Middle East",75.8,109.578,97,0.08,10226,0
"1472","European Union",80.5,65.6915,88,0.06,44028,1
"1473","Middle East",64.9,241.32,78,0.03,2574,0
"1474","Africa",55,276.348,72,0.18,417,0
"1475","Oceania",60.5,250.8075,63,0.56,1888,0
"1476","Africa",50.3,387.5995,24,0.67,659,0
"1477","Africa",73.9,147.395,98,0.89,8384,0
"1478","Rest of Europe",73,119.958,69,0.08,3240,0
"1479","Oceania",65.5,177.472,91,0.17,3023,0
"1480","Africa",57.2,360.1825,91,0.47,796,0
"1481","Africa",59.5,368.141,87,3.86,1445,0
"1482","European Union",80.2,72.478,95,0.09,32998,1
"1483","Rest of Europe",80.9,69.147,88,0.08,43100,1
"1484","Africa",46.2,538.191,96,11.51,1037,0
"1485","North America",78,109.026,93,0.13,54300,1
"1486","Oceania",70.1,179.355,89,0.17,1976,0
"1487","Africa",52.7,360.3385,49,0.58,2688,0
"1488","European Union",74.9,133.448,95,0.03,6693,1
"1489","European Union",73.7,152.9305,99,0.08,7357,1
"1490","Africa",55,423.442,97,5.13,1432,0
"1491","Rest of Europe",81,61.9875,88,0.03,46766,1
"1492","European Union",81.9,51.8135,95,0.08,24922,1
"1493","Rest of Europe",70.2,168.977,51,0.03,1775,0
"1494","Africa",54.2,369.5585,52,0.83,259,0
"1495","European Union",80.6,75.9595,98,0.08,39970,1
"1496","Oceania",80.4,73.0145,90,0.04,35655,1
"1497","Africa",51.7,406.0525,92,0.95,740,0
"1498","Asia",79,71.202,95,0.15,36710,0
"1499","European Union",74.2,137.7115,99,0.01,13734,1
"1500","Asia",63.6,221.783,46,0.17,570,0
"1501","Oceania",70.2,138.9635,77,0.17,4108,0
"1502","Central America and Caribbean",72.4,163.272,96,0.39,32652,0
"1503","Africa",64.8,223.608,89,1.15,1465,0
"1504","Africa",54.2,368.451,84,2.27,1249,0
"1505","Oceania",64.8,189.4355,75,0.06,862,0
"1506","North America",79.7,77.6255,14,0.1,36024,1
"1507","European Union",73.6,184.524,95,0.09,12047,1
"1508","Rest of Europe",72.5,141.353,91,0.08,2062,0
"1509","Asia",71.2,132.246,97,0.01,1185,0
"1510","European Union",79.1,82.246,87,0.08,36699,1
"1511","Oceania",62.6,230.8385,68,0.38,2266,0
"1512","Oceania",69.8,150.2735,89,0.17,3875,0
"1513","Asia",67.5,186.6,86,0.12,993,0
"1514","Africa",57.9,287.749,95,1.44,711,0
"1515","Rest of Europe",75.8,104.296,90,0.08,4028,0
"1516","Africa",60.1,272.2445,88,0.43,1343,0
"1517","Rest of Europe",68.1,263.497,96,0.35,2322,0
